Updates 840, num timesteps 538240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 850, num timesteps 544640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 860, num timesteps 551040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 870, num timesteps 557440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 880, num timesteps 563840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 890, num timesteps 570240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 900, num timesteps 576640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 910, num timesteps 583040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 920, num timesteps 589440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 930, num timesteps 595840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 940, num timesteps 602240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 950, num timesteps 608640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 960, num timesteps 615040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 970, num timesteps 621440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 980, num timesteps 627840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 990, num timesteps 634240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 1000, num timesteps 640640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1010, num timesteps 647040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1020, num timesteps 653440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1030, num timesteps 659840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1040, num timesteps 666240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1050, num timesteps 672640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1060, num timesteps 679040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1070, num timesteps 685440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1080, num timesteps 691840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1090, num timesteps 698240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 1100, num timesteps 704640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1110, num timesteps 711040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1120, num timesteps 717440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1130, num timesteps 723840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1140, num timesteps 730240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1150, num timesteps 736640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1160, num timesteps 743040, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1170, num timesteps 749440, FPS 163
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1180, num timesteps 755840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 1190, num timesteps 762240, FPS 162
