 Last 100 training episodes: mean/median reward 0.05/0.00, min/max reward 0.00/0.99, success rate 0.05

Updates 970, num timesteps 621440, FPS 359
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.06

Updates 980, num timesteps 627840, FPS 359
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 990, num timesteps 634240, FPS 359
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

 

Updates 1000, num timesteps 640640, FPS 359
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.07

Updates 1010, num timesteps 647040, FPS 359
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/0.99, success rate 0.07

Updates 1020, num timesteps 653440, FPS 359
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/0.99, success rate 0.15

Updates 1030, num timesteps 659840, FPS 359
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1040, num timesteps 666240, FPS 359
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1050, num timesteps 672640, FPS 359
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1060, num timesteps 679040, FPS 359
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1070, num timesteps 685440, FPS 359
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 1080, num timesteps 691840, FPS 359
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 1090, num timesteps 698240, FPS 359
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

 

Updates 1100, num timesteps 704640, FPS 359
 Last 100 training episodes: mean/median reward 0.18/0.00, min/max reward 0.00/1.00, success rate 0.19

Updates 1110, num timesteps 711040, FPS 359
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1120, num timesteps 717440, FPS 359
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1130, num timesteps 723840, FPS 360
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1140, num timesteps 730240, FPS 360
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1150, num timesteps 736640, FPS 360
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 1160, num timesteps 743040, FPS 360
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1170, num timesteps 749440, FPS 360
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1180, num timesteps 755840, FPS 360
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1190, num timesteps 762240, FPS 360
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

 

Updates 1200, num timesteps 768640, FPS 360
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1210, num timesteps 775040, FPS 360
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 1220, num timesteps 781440, FPS 360
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.06

Updates 1230, num timesteps 787840, FPS 360
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 1240, num timesteps 794240, FPS 360
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1250, num timesteps 800640, FPS 360
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.07

Updates 1260, num timesteps 807040, FPS 360
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1270, num timesteps 813440, FPS 360
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1280, num timesteps 819840, FPS 360
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1290, num timesteps 826240, FPS 360
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

 

Updates 1300, num timesteps 832640, FPS 360
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 1310, num timesteps 839040, FPS 361
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1320, num timesteps 845440, FPS 361
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 1330, num timesteps 851840, FPS 361
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1340, num timesteps 858240, FPS 361
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 1350, num timesteps 864640, FPS 361
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1360, num timesteps 871040, FPS 361
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1370, num timesteps 877440, FPS 361
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 1380, num timesteps 883840, FPS 361
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1390, num timesteps 890240, FPS 361
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

 

Updates 1400, num timesteps 896640, FPS 361
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1410, num timesteps 903040, FPS 361
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 1420, num timesteps 909440, FPS 361
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 1430, num timesteps 915840, FPS 361
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 1440, num timesteps 922240, FPS 361
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1450, num timesteps 928640, FPS 361
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/0.98, success rate 0.18

Updates 1460, num timesteps 935040, FPS 361
 Last 100 training episodes: mean/median reward 0.19/0.00, min/max reward 0.00/1.00, success rate 0.20

Updates 1470, num timesteps 941440, FPS 361
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1480, num timesteps 947840, FPS 361
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 1490, num timesteps 954240, FPS 361
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

 

Updates 1500, num timesteps 960640, FPS 361
